,Time,Length,Is_malicious
60424,1659046822.993912,186,1
60425,1659046822.994103,2502,1
74389,1659046823.0,74,1
60426,1659046823.142111,60,1
60427,1659046823.14251,60,1
60428,1659046823.145433,66,1
60429,1659046823.147384,66,1
60430,1659046823.147431,54,1
60431,1659046823.147627,54,1
60432,1659046823.149295,60,1
60433,1659046823.149323,54,1
60434,1659046823.463014,62,1
60435,1659046823.493958,74,1
60436,1659046823.634042,2025,1
60438,1659046823.951849,60,1
60437,1659046823.951849,60,1
74390,1659046824.0,74,1
60439,1659046824.580789,88,1
60440,1659046824.617899,88,1
60441,1659046824.923646,1434,1
60442,1659046824.923646,265,1
60443,1659046824.923735,54,1
74391,1659046825.0,74,1
60444,1659046825.144884,66,1
60445,1659046825.146979,66,1
60446,1659046825.147037,54,1
60447,1659046825.166223,54,1
60448,1659046825.168379,60,1
60449,1659046825.168379,60,1
60450,1659046825.168424,54,1
60451,1659046825.701684,74,1
60452,1659046825.771274,75,1
60453,1659046825.775783,74,1
60454,1659046825.776208,76,1
60455,1659046825.935525,1309,1
74392,1659046826.0,74,1
60456,1659046826.102549,54,1
74393,1659046827.0,74,1
60457,1659046827.144862,66,1
60458,1659046827.147429,66,1
60459,1659046827.147483,54,1
60460,1659046827.179502,190,1
60461,1659046827.191793,190,1
60462,1659046827.217764,54,1
60463,1659046827.220306,60,1
60464,1659046827.220342,54,1
74394,1659046829.0,74,1
60465,1659046829.14643,66,1
60466,1659046829.1484,66,1
60467,1659046829.148454,54,1
60468,1659046829.152607,54,1
60469,1659046829.154575,60,1
60470,1659046829.154611,54,1
60471,1659046829.595736,88,1
60472,1659046829.630266,88,1
60473,1659046829.798242,55,1
60474,1659046829.852434,66,1
74395,1659046830.0,74,1
60475,1659046830.473762,1187,1
60476,1659046830.513856,54,1
60477,1659046830.733921,702,1
74396,1659046831.0,74,1
60478,1659046831.046834,702,1
60479,1659046831.051908,60,1
60480,1659046831.144659,66,1
60481,1659046831.146902,66,1
60482,1659046831.146966,54,1
60483,1659046831.202022,54,1
60484,1659046831.2043,60,1
60485,1659046831.204343,54,1
60486,1659046831.364465,66,1
74397,1659046833.0,74,1
60487,1659046833.145265,66,1
60488,1659046833.146942,66,1
60489,1659046833.146998,54,1
60490,1659046833.175513,54,1
60491,1659046833.177233,60,1
60492,1659046833.177279,54,1
60493,1659046833.570595,62,1
60494,1659046833.601497,74,1
60495,1659046833.674002,1993,1
60496,1659046833.990038,1434,1
60497,1659046833.991814,60,1
60498,1659046833.991814,60,1
74398,1659046834.0,74,1
60499,1659046834.308037,66,1
60500,1659046834.62417,88,1
60501,1659046834.661179,88,1
74399,1659046835.0,74,1
60502,1659046835.147105,66,1
60503,1659046835.149572,66,1
60504,1659046835.149639,54,1
60505,1659046835.14983,54,1
60506,1659046835.152467,60,1
60507,1659046835.15251,54,1
